
CAMERA   raw -> enhanced
condition                 before     after     delta
----------------------------------------------------
ALL                       0.2330    0.2060   -0.0270
blizzard                  0.3899    0.3585   -0.0314
deep_night_fog            0.1890    0.1753   -0.0137
fog                       0.3584    0.3526   -0.0058
fog_dense                 0.2369    0.1985   -0.0384
fog_night                 0.2606    0.2252   -0.0354
fog_night_extreme         0.2199    0.1764   -0.0435
fog_whiteout              0.1616    0.1151   -0.0465
glare_dawn                0.1931    0.1664   -0.0267
glare_fog                 0.3798    0.3324   -0.0474
glare_wet                 0.2730    0.2685   -0.0045
hail                      0.2428    0.2087   -0.0341
hail_severe               0.3289    0.3352   +0.0063
haze                      0.1737    0.1729   -0.0008
midnight                  0.1180    0.0724   -0.0456
monsoon                   0.3688    0.3920   +0.0232
monsoon_night             0.2400    0.2049   -0.0351
night                     0.0606    0.0421   -0.0185
rain                      0.1153    0.0657   -0.0496
storm_day                 0.3239    0.3244   +0.0005
storm_dusk                0.3533    0.3390   -0.0143
storm_night               0.1891    0.1345   -0.0546
wet_night                 0.0991    0.0647   -0.0344
improved in 3 of 22 conditions

BEV      raw -> SOR denoised
condition                 before     after     delta
----------------------------------------------------
ALL                       0.5084    0.5380   +0.0296
blizzard                  0.4122    0.4531   +0.0409
deep_night_fog            0.7468    0.7320   -0.0148
fog                       0.4881    0.5961   +0.1080
fog_dense                 0.4441    0.4771   +0.0330
fog_night                 0.5922    0.6173   +0.0251
fog_night_extreme         0.4878    0.5504   +0.0626
fog_whiteout              0.4830    0.5189   +0.0359
glare_dawn                0.5600    0.5728   +0.0128
glare_fog                 0.4814    0.5173   +0.0359
glare_wet                 0.5434    0.5560   +0.0126
hail                      0.6804    0.7371   +0.0567
hail_severe               0.6193    0.6257   +0.0064
haze                      0.5882    0.7354   +0.1472
midnight                  0.5830    0.5890   +0.0060
monsoon                   0.5498    0.6405   +0.0907
monsoon_night             0.4165    0.5135   +0.0970
night                     0.6742    0.7480   +0.0738
rain                      0.6172    0.6621   +0.0449
storm_day                 0.4678    0.5213   +0.0535
storm_dusk                0.5598    0.6104   +0.0506
storm_night               0.6462    0.6886   +0.0424
wet_night                 0.5713    0.5328   -0.0385
improved in 20 of 22 conditions
