condition,boxes,median_px,pct_under_12px,pct_under_20px
storm_day,3640,8.4,72.64,90.11
fog_night,3650,8.4,72.77,90.03
hail,3648,8.4,73.00,90.13
wet_night,3644,8.4,72.83,90.04
fog,3656,8.4,72.78,90.24
night,3688,8.4,72.37,89.99
monsoon,3644,8.4,72.80,90.23
monsoon_night,3683,8.4,72.66,90.01
midnight,3651,8.4,72.61,90.28
glare_fog,3650,8.3,72.66,89.92
fog_dense,3662,8.3,72.58,90.01
glare_dawn,3652,8.3,72.75,90.25
hail_severe,3640,8.3,73.49,90.44
fog_whiteout,3663,8.3,72.89,90.17
blizzard,3626,8.3,73.00,90.51
rain,3642,8.3,72.90,90.12
haze,3666,8.3,73.08,90.18
fog_night_extreme,3648,8.3,73.05,90.05
glare_wet,3658,8.3,72.80,90.19
storm_night,3657,8.3,72.93,90.32
deep_night_fog,3661,8.3,73.20,90.71
storm_dusk,3652,8.2,73.30,90.91
