condition,tier,n,mean_points,sd,retained_pct,attenuation,dropoff,noise
clear,reference,100,33577,1340,100.00,0.0040,0.45,0.000
midnight,severe,450,33119,1397,98.64,0.0040,0.45,0.000
night,mild,300,33116,1732,98.63,0.0040,0.45,0.000
glare_dawn,severe,450,32955,1638,98.15,0.0060,0.45,0.000
haze,mild,300,32819,1325,97.74,0.0100,0.45,0.010
wet_night,mild,300,32416,2524,96.54,0.0060,0.45,0.010
glare_wet,severe,450,29279,1318,87.20,0.0150,0.50,0.030
rain,mild,300,26085,1125,77.69,0.0200,0.55,0.040
fog,mild,300,25318,883,75.40,0.0300,0.55,0.030
glare_fog,extreme,300,23930,1061,71.27,0.0250,0.58,0.030
hail,mild,300,23083,649,68.75,0.0250,0.60,0.060
storm_day,severe,450,21014,1113,62.58,0.0300,0.62,0.060
fog_night,severe,450,20267,1206,60.36,0.0400,0.62,0.040
storm_night,severe,450,19031,952,56.68,0.0320,0.65,0.070
fog_dense,severe,450,18713,790,55.73,0.0450,0.65,0.050
deep_night_fog,extreme,300,18346,1302,54.64,0.0380,0.66,0.040
storm_dusk,extreme,300,17396,1073,51.81,0.0350,0.68,0.080
hail_severe,severe,450,17291,1215,51.50,0.0350,0.68,0.080
monsoon,extreme,300,16025,789,47.72,0.0400,0.70,0.090
fog_night_extreme,extreme,300,15409,811,45.89,0.0550,0.70,0.050
monsoon_night,extreme,300,15193,732,45.25,0.0420,0.72,0.100
fog_whiteout,extreme,300,13919,652,41.45,0.0600,0.72,0.060
blizzard,extreme,300,13637,401,40.61,0.0500,0.74,0.110
